Login,Course Code,Title,Credit,ECTS,Grade,Letter,Point,Traditional
230183036,MAT 106,Information and Communication Technologies (in English),3,5,96,A,4,Excellent
230183036,MAT 123,Linear Algebra,4,5,85,B+,3.33,Good
230183036,MCM 103,Calculus 1,4,5,60,C-,1.67,Satisfactory
230183036,MDE 131,Turkish Language 1 (А1 level),2,3,80,B,3,Good
230183036,MDE 160,Community engagement and value based Society 1,1,0,79,P,,Pass
230183036,MDE 171,History of Kazakhstan,3,5,85,B+,3.33,Good
230183036,MDE 190,Foreign Language 1 (English for Academic Purposes - B1 level ),3,5,81,B,3,Good
230183036,MDE 291,Physical Education 1,1,2,100,A,4,Excellent
230183036,MAT 122,Algorithms and programming 1,4,5,91,A-,3.67,Excellent
230183036,MDE 132,Turkish Language 2 (А1 level),2,3,74,C+,2.33,Good
230183036,MDE 170,Community engagement and value based Society 2,1,0,100,P,,Pass
230183036,MDE 172,Philosophy,3,5,88,B+,3.33,Good
230183036,MDE 191,Foreign Language 2 (English for Academic Purposes - B1+ level ),3,5,96,A,4,Excellent
230183036,MDE 292,Physical Education 2,1,2,94,A-,3.67,Excellent
230183036,SDS 102,Calculus 2,4,5,100,A,4,Excellent
230183036,SDS 107,Introduction to probability theory,4,5,83,B,3,Good
230183036,MAT 124,Algorithms and programming 2,4,5,100,A,4,Excellent
230183036,MAT 125,Discrete mathematics,4,5,90,A-,3.67,Excellent
230183036,MDE 127,Russian Language 1 (C1 level),3,5,82,B,3,Good
230183036,MDE 133,Turkish Language 3 (А2 level),2,3,81,B,3,Good
230183036,MDE 151,Module of Social and Political Knowledge (Political Science),1,2,90,A-,3.67,Excellent
230183036,MDE 152,Module of Social and Political Knowledge  (Sociology),1,2,89,B+,3.33,Good
230183036,MDE 293,Physical Education 3,1,2,94,A-,3.67,Excellent
230183036,SDS 201,Calculus 3,4,5,78,B-,2.67,Good
230183036,SDS 204,Statistics and its Applications 1,4,5,92,A-,3.67,Excellent
230183036,CSS 206,Database Management Systems 1,3,5,,IP,,In progress
230183036,MAT 205,Ordinary differential equations,4,5,,IP,,In progress
230183036,MAT 222,Additional chapters of mathematical analysis,3,5,,IP,,In progress
230183036,MDE 128,Russian Language 2 (C1 level),3,5,,IP,,In progress
230183036,MDE 134,Turkish Language 4 (А2 level),2,3,,IP,,In progress
230183036,MDE 153,Module of Social and Political Knowledge  (Cultural Studies),1,2,,IP,,In progress
230183036,MDE 294,Physical Education 4,1,2,,IP,,In progress
230183036,SDS 205,Statistics and its Applications 2,4,5,,IP,,In progress
230183023,MAT 106,Information and Communication Technologies (in English),3,5,86,B+,3.33,Good
230183023,MAT 123,Linear Algebra,4,5,83,B,3,Good
230183023,MCM 103,Calculus 1,4,5,75,B-,2.67,Good
230183023,MDE 002,General English (A2 level),6,6,86,P,,Pass
230183023,MDE 131,Turkish Language 1 (А1 level),2,3,86,B+,3.33,Good
230183023,MDE 160,Community engagement and value based Society 1,1,0,94,P,,Pass
230183023,MDE 171,History of Kazakhstan,3,5,88,B+,3.33,Good
230183023,MDE 291,Physical Education 1,1,2,94,A-,3.67,Excellent
230183023,MAT 122,Algorithms and programming 1,4,5,96,A,4,Excellent
230183023,MDE 003,General English (B1 level),6,6,67,P,,Pass
230183023,MDE 132,Turkish Language 2 (А1 level),2,3,80,B,3,Good
230183023,MDE 170,Community engagement and value based Society 2,1,0,95,P,,Pass
230183023,MDE 172,Philosophy,3,5,80,B,3,Good
230183023,MDE 292,Physical Education 2,1,2,100,A,4,Excellent
230183023,MDE 294,Physical Education 4,1,2,94,A-,3.67,Excellent
230183023,SDS 102,Calculus 2,4,5,71,C+,2.33,Good
230183023,SDS 107,Introduction to probability theory,4,5,90,A-,3.67,Excellent
230183023,MAT 124,Algorithms and programming 2,4,5,100,A,4,Excellent
230183023,MAT 125,Discrete mathematics,4,5,90,A-,3.67,Excellent
230183023,MDE 127,Russian Language 1 (C1 level),3,5,81,B,3,Good
230183023,MDE 133,Turkish Language 3 (А2 level),2,3,86,B+,3.33,Good
230183023,MDE 151,Module of Social and Political Knowledge (Political Science),1,2,90,A-,3.67,Excellent
230183023,MDE 152,Module of Social and Political Knowledge  (Sociology),1,2,84,B,3,Good
230183023,MDE 190,Foreign Language 1 (English for Academic Purposes - B1 level ),3,5,86,B+,3.33,Good
230183023,MDE 293,Physical Education 3,1,2,94,A-,3.67,Excellent
230183023,SDS 201,Calculus 3,4,5,88,B+,3.33,Good
